,subID,PSE_subt,range_subt,bias_subt,sigma_subt,PSE_pf,slope_pf,range_pf,bias_pf,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
20,30030.0,0.0254055524082817,0.384819290289503,0.8051460470040442,0.13951988252471,0.6749950627212845,0.3616428644559787,0.3616428644559787,0.4008615832354633,18.0,19.0,11.0,18.0,11.0,17.0,12.0,41.0,35.0,40.0,37.0,46.0,54.0,0.0
21,30031.0,0.4192994275685456,0.8478366220217404,0.8901527724791991,0.0577273775732475,0.0,0.2850000034813587,0.2850000034813587,0.7710622680642798,24.0,14.0,14.0,11.0,19.0,12.0,19.0,56.0,15.0,46.0,39.0,32.0,55.0,2.0
22,30032.0,0.1916047471999004,0.6712503733822811,0.9666475944691557,0.1101124902185247,0.5294940313044054,0.468214292347417,0.4682142923474172,0.47403178235717724,12.0,17.0,4.0,14.0,9.0,18.0,9.0,44.0,35.0,49.0,39.0,30.0,40.0,3.0
23,30033.0,0.3607900995327894,0.9978230755789911,0.9912794776482239,0.0587946851501435,0.6165131195204285,0.8108505466823818,0.8108505466823819,0.000528682469053087,6.0,12.0,12.0,15.0,7.0,26.0,0.0,26.0,49.0,35.0,43.0,52.0,44.0,7.0
24,30034.0,0.2747529104659794,0.779638490958561,0.988514760796837,0.1169322464961165,0.6014146843118907,0.538571430782874,0.5385714307828741,0.3816305376909868,3.0,12.0,5.0,11.0,6.0,27.0,7.0,31.0,48.0,42.0,48.0,43.63636363636363,26.0,20.0
25,30035.0,0.4031246165952122,0.7633328515461618,0.9865917360153961,0.0979167451417732,0.7436053618625407,0.5864285783325514,0.5864285783325514,0.1545768432082153,8.0,15.0,5.0,9.0,3.0,29.0,7.0,39.0,47.0,52.0,51.0,32.0,42.0,5.0
26,30036.0,0.4888857301111329,0.7760449418960953,0.6604816442864303,0.1108171147319654,0.5867123047610852,0.6782142914216659,0.6782142914216659,0.3172400987262533,12.0,13.0,11.0,11.0,15.0,24.444444444444443,20.0,43.0,40.0,43.0,45.0,51.0,51.0,6.0
27,30037.0,0.3178122340432102,0.4841946416044156,0.7540291801743444,0.0761605572495246,0.6442794944573008,0.775905494898737,0.775905494898737,0.0004462403036380226,3.0,7.0,6.0,23.0,7.0,39.0,6.0,30.0,46.0,51.0,49.0,54.0,28.0,3.0
28,30039.0,0.3607478983685857,0.7005364993479236,0.7991452335539869,0.0712259416436643,0.6424148646887071,0.6921428548123322,0.6921428548123323,0.17981437964265778,15.0,18.0,10.0,16.0,12.0,15.0,25.0,53.0,31.0,41.0,47.0,31.0,59.0,2.0
29,30041.0,0.336212220164459,0.7545802958923986,0.7341926941175309,0.1061681620019536,0.6668518585238541,0.7496417586757284,0.7496417586757285,0.0003994276340616923,1.0,4.0,6.0,14.0,0.0,37.0,1.0,16.0,55.0,43.0,52.0,59.0,20.0,5.0
